engine_size_l,cylinders,fuel_type,vehicle_class,distance_km,duration_minutes,avg_speed_kmh,max_speed_kmh,idle_time_minutes,route_type,load_weight_kg,traffic_level,weather,fuel_used_liters
1.5,4,petrol,Compact,127.43,144.49,52.92,78.08,12.95,mixed,71.43,low,rain,9.179
3.0,4,diesel,Pickup,14.56,57.52,15.18,20.99,18.74,urban,863.89,high,rain,3.062
2.4,4,diesel,Pickup,488.19,371.98,78.74,123.71,19.56,highway,1966.46,medium,clear,47.25
2.2,4,diesel,Van,7.93,21.62,22.0,27.69,6.63,urban,880.3,medium,clear,1.145
1.5,4,petrol,Compact,225.98,230.47,58.83,85.6,17.75,highway,283.85,high,clear,18.245
2.5,4,diesel,Pickup,127.62,255.63,29.95,40.82,49.54,mixed,713.51,high,hot,19.157
2.2,4,diesel,Van,24.05,68.94,20.93,25.3,10.09,urban,1422.68,low,clear,2.922
3.0,4,diesel,Pickup,40.86,41.44,59.16,82.73,3.61,mixed,621.96,low,clear,4.72
3.5,6,petrol,SUV,121.02,140.63,51.63,88.26,19.43,mixed,117.99,medium,clear,15.956
1.5,4,petrol,Compact,24.77,57.71,25.75,38.25,13.2,urban,347.76,medium,clear,2.458
4.5,6,diesel,SUV,15.3,38.34,23.94,31.04,12.98,urban,404.06,medium,rain,3.314
2.2,4,diesel,Van,23.74,61.19,23.28,29.64,13.12,urban,1813.66,medium,clear,3.343
2.4,4,diesel,Pickup,43.73,104.85,25.03,36.3,21.47,urban,239.73,medium,rain,6.106
3.5,6,petrol,SUV,146.54,171.44,51.29,91.16,21.15,mixed,248.62,medium,clear,19.293
2.4,4,diesel,Pickup,48.95,192.06,15.29,21.52,59.63,urban,1361.41,high,clear,8.705
4.5,6,diesel,SUV,352.46,405.72,52.12,85.32,31.35,highway,316.15,high,clear,61.338
2.0,4,petrol,Sedan,117.82,107.65,65.67,112.62,8.86,highway,110.12,high,rain,11.954
5.7,8,diesel,Truck,128.46,88.19,87.4,140.0,3.38,highway,682.13,low,rain,25.751
2.2,4,diesel,Van,15.28,55.76,16.45,29.57,17.88,urban,1116.59,medium,rain,2.347
1.5,4,petrol,Compact,45.37,103.69,26.25,41.62,20.91,urban,80.81,medium,rain,4.732
2.0,4,petrol,Sedan,189.22,230.36,49.29,72.4,38.03,mixed,87.96,medium,clear,15.529
2.8,4,diesel,SUV,34.23,75.73,27.12,41.8,15.34,urban,183.86,medium,rain,5.493
